Date,daycount
27/02/2020,0
28/02/2020,0
29/02/2020,0
01/03/2020,0
02/03/2020,1
03/03/2020,1
04/03/2020,3
05/03/2020,3
06/03/2020,5
07/03/2020,3
08/03/2020,2
09/03/2020,7
10/03/2020,12
11/03/2020,12
12/03/2020,29
13/03/2020,32
14/03/2020,33
15/03/2020,27
16/03/2020,98
17/03/2020,79
18/03/2020,84
19/03/2020,142
20/03/2020,126
21/03/2020,124
22/03/2020,140
23/03/2020,257
24/03/2020,324
25/03/2020,364
26/03/2020,502
27/03/2020,568
28/03/2020,455
29/03/2020,419
30/03/2020,612
31/03/2020,598
01/04/2020,660
02/04/2020,540
03/04/2020,563
04/04/2020,605
05/04/2020,426
06/04/2020,431
07/04/2020,489
08/04/2020,578
09/04/2020,523
10/04/2020,525
11/04/2020,616
12/04/2020,499
13/04/2020,506
14/04/2020,645
15/04/2020,518
16/04/2020,602
17/04/2020,694
18/04/2020,479
19/04/2020,266
20/04/2020,395
21/04/2020,510
22/04/2020,946
23/04/2020,538
24/04/2020,449
25/04/2020,664
26/04/2020,399
27/04/2020,368
28/04/2020,367
29/04/2020,396
30/04/2020,271
01/05/2020,351
02/05/2020,383
03/05/2020,205
04/05/2020,249
05/05/2020,281
06/05/2020,137
07/05/2020,186
08/05/2020,158
09/05/2020,261
10/05/2020,181
11/05/2020,85
12/05/2020,124
13/05/2020,363
14/05/2020,233
15/05/2020,105
16/05/2020,84
17/05/2020,129
18/05/2020,42
19/05/2020,75
20/05/2020,75
21/05/2020,95
22/05/2020,115
23/05/2020,39
24/05/2020,40
25/05/2020,105
26/05/2020,68
27/05/2020,41
28/05/2020,37
29/05/2020,55
30/05/2020,66
31/05/2020,75
01/06/2020,10
02/06/2020,40
03/06/2020,36
04/06/2020,26
05/06/2020,22
06/06/2020,23
07/06/2020,9
08/06/2020,9
09/06/2020,18
10/06/2020,8
11/06/2020,13
12/06/2020,45
13/06/2020,8
14/06/2020,18
15/06/2020,14
16/06/2020,8
17/06/2020,16
18/06/2020,13
19/06/2020,21
20/06/2020,5
21/06/2020,4
22/06/2020,10
23/06/2020,4
24/06/2020,9
25/06/2020,11
26/06/2020,20
27/06/2020,3
28/06/2020,24
29/06/2020,11
30/06/2020,6
01/07/2020,15
02/07/2020,9
03/07/2020,11
04/07/2020,17
05/07/2020,3
06/07/2020,24
07/07/2020,11
08/07/2020,22
09/07/2020,25
10/07/2020,23
11/07/2020,17
12/07/2020,11
13/07/2020,32
14/07/2020,13
15/07/2020,22
16/07/2020,34
17/07/2020,19
18/07/2020,9
19/07/2020,6
20/07/2020,34
21/07/2020,17
22/07/2020,7
23/07/2020,20
24/07/2020,23
25/07/2020,12
26/07/2020,10
27/07/2020,39
28/07/2020,14
29/07/2020,85
30/07/2020,40
31/07/2020,43
01/08/2020,53
02/08/2020,45
03/08/2020,44
04/08/2020,47
05/08/2020,70
06/08/2020,97
07/08/2020,170
08/08/2020,67
09/08/2020,57
10/08/2020,33
11/08/2020,40
12/08/2020,87
13/08/2020,67
14/08/2020,198
15/08/2020,64
16/08/2020,53
17/08/2020,184
18/08/2020,54
19/08/2020,135
20/08/2020,75
21/08/2020,150
22/08/2020,60
23/08/2020,146
24/08/2020,91
25/08/2020,162
26/08/2020,93
27/08/2020,124
28/08/2020,140
29/08/2020,40
30/08/2020,53
31/08/2020,214
01/09/2020,89
02/09/2020,93
03/09/2020,96
04/09/2020,229
05/09/2020,138
06/09/2020,100
07/09/2020,306
08/09/2020,82
09/09/2020,196
10/09/2020,207
11/09/2020,158
12/09/2020,255
13/09/2020,204
14/09/2020,352
15/09/2020,245
16/09/2020,238
17/09/2020,248
18/09/2020,270
19/09/2020,391
20/09/2020,185
21/09/2020,328
22/09/2020,227
23/09/2020,320
24/09/2020,324
25/09/2020,248
26/09/2020,428
27/09/2020,383
28/09/2020,358
29/09/2020,428
30/09/2020,439
01/10/2020,460
02/10/2020,604
03/10/2020,361
04/10/2020,516
05/10/2020,426
06/10/2020,604
07/10/2020,504
08/10/2020,615
09/10/2020,1002
10/10/2020,798
11/10/2020,818
12/10/2020,809
13/10/2020,1075
14/10/2020,1195
15/10/2020,999
16/10/2020,1272
17/10/2020,1264
18/10/2020,1004
19/10/2020,1259
20/10/2020,1159
21/10/2020,1067
22/10/2020,772
23/10/2020,842
24/10/2020,1020
25/10/2020,933
26/10/2020,712
27/10/2020,669
28/10/2020,848
29/10/2020,760
30/10/2020,403
31/10/2020,538
01/11/2020,750
02/11/2020,314
03/11/2020,443
04/11/2020,586
05/11/2020,496
06/11/2020,333
07/11/2020,534
08/11/2020,267
09/11/2020,270
10/11/2020,362
